Gemeinde;BSF_Nr;AL_Quote_2004;AL_Quote_2005;AL_Quote_2006;AL_Quote_2007;AL_Quote_2008;AL_Quote_2009;AL_Quote_2010
Aadorf;4551;2.8;2.6;2.0;1.6;1.5;2.8;2.7
Affeltrangen;4711;2.3;2.3;2.3;1.4;1.4;2.4;1.8
Altnau;4641;2.6;2.9;1.9;1.5;2.0;3.2;3.0
Amlikon-Bissegg;4881;1.6;1.9;1.8;1.2;0.9;0.9;1.4
Amriswil;4461;4.3;4.3;3.4;2.5;2.4;4.1;4.4
Arbon;4401;5.2;4.9;4.3;3.0;2.7;4.8;5.0
Basadingen-Schlattingen;4536;1.5;1.2;1.2;1.0;1.2;1.6;2.3
Berg;4891;2.3;2.6;2.4;1.4;1.1;1.8;2.1
Berlingen ;4801;2.9;3.0;2.3;1.4;1.4;1.4;3.7
Bettwiesen;4716;3.4;3.3;3.2;2.1;2.0;2.5;3.1
Bichelsee-Balterswil;4721;2.2;2.2;1.3;1.3;1.5;2.4;2.0
Birwinken;4901;1.9;2.0;1.4;0.9;1.3;2.5;2.2
Bischofszell;4471;2.7;3.4;2.6;2.4;2.2;3.3;3.0
Bottighofen;4643;2.8;2.5;2.2;1.8;2.0;2.8;2.5
Braunau;4723;2.2;2.1;2.4;2.2;1.5;1.9;2.6
Bürglen;4921;3.3;3.4;2.8;1.8;2.5;4.5;4.7
Bussnang;4911;2.4;2.2;1.6;1.5;1.3;2.0;2.9
Diessenhofen ;4545;3.5;3.1;2.6;1.6;1.9;3.5;3.5
Dozwil;4406;1.8;1.2;2.4;2.3;0.9;2.3;1.8
Egnach;4411;1.9;1.9;2.1;1.6;1.4;2.0;2.3
Erlen;4476;3.1;3.1;2.7;1.7;2.1;3.6;3.5
Ermatingen;4646;3.5;3.5;3.0;1.6;1.3;2.9;2.7
Eschenz;4806;3.2;2.5;2.2;1.7;1.3;2.9;3.1
Eschlikon;4724;3.2;3.3;2.5;1.5;1.7;2.3;2.8
Felben-Wellhausen;4561;2.7;2.2;2.1;1.8;1.4;2.9;3.4
Fischingen;4726;1.8;1.4;0.9;0.9;1.2;1.6;1.5
Frauenfeld;4566;3.4;3.2;2.6;2.0;2.1;3.6;3.5
Gachnang;4571;2.0;1.8;1.7;1.2;1.3;2.4;2.3
Gottlieben;4651;3.1;3.4;2.6;0.7;1.1;1.8;2.0
Güttingen;4656;3.1;2.3;2.0;1.0;1.5;2.4;2.1
Hauptwil-Gottshaus;4486;1.4;2.1;2.3;1.9;1.6;2.2;2.4
Hefenhofen;4416;2.2;2.0;2.5;1.7;1.6;2.7;2.5
Herdern;4811;1.7;1.2;1.4;1.5;1.5;1.5;1.5
Hohentannen;4495;1.9;1.6;1.2;0.3;0.9;1.6;2.4
Homburg;4816;1.4;1.3;1.5;1.0;0.7;1.1;1.1
Horn;4421;2.7;2.7;2.4;1.6;1.7;2.4;2.8
Hüttlingen;4590;1.5;1.4;1.4;0.9;0.7;1.4;1.6
Hüttwilen;4821;1.6;1.4;1.2;0.7;0.7;1.5;1.3
Kemmental;4666;2.3;2.4;2.5;1.8;1.2;2.3;2.8
Kesswil;4426;1.8;2.3;2.3;1.1;1.2;2.1;1.9
Kradolf-Schönenberg;4501;2.9;3.4;2.5;1.7;2.0;3.8;3.9
Kreuzlingen;4671;5.2;5.0;4.6;3.5;3.7;5.1;4.9
Langrickenbach;4681;2.8;3.0;3.1;1.7;1.7;2.4;2.2
Lengwil;4683;1.1;1.9;1.5;1.1;1.7;2.2;2.3
Lommis;4741;2.5;1.6;1.3;0.9;0.9;0.9;1.8
Mammern;4826;1.7;0.8;1.3;1.1;0.9;2.0;2.3
Märstetten;4591;2.0;2.7;2.7;1.5;1.1;2.1;2.4
Matzingen;4941;2.9;3.1;2.7;2.1;2.1;3.8;3.3
Müllheim;4831;2.5;2.2;2.2;1.6;1.2;2.4;2.5
Münchwilen;4746;3.0;3.1;2.4;1.9;1.8;3.4;3.3
Münsterlingen;4691;3.7;3.6;2.9;2.3;2.0;3.3;3.8
Neunforn;4601;1.0;1.6;1.2;0.5;0.9;1.3;1.8
Pfyn;4841;1.9;2.0;1.3;0.9;1.4;2.2;2.0
Raperswilen;4846;1.7;2.1;2.1;0.9;1.0;2.2;1.5
Rickenbach;4751;3.8;3.0;2.4;2.5;2.6;3.8;3.6
Roggwil;4431;1.3;2.2;1.8;1.2;1.2;1.7;2.1
Romanshorn;4436;3.8;4.0;3.7;3.1;2.7;4.5;4.9
Salenstein;4851;2.8;2.1;2.2;1.5;1.0;1.0;2.6
Salmsach;4441;3.9;4.0;3.1;2.2;2.1;3.1;3.5
Schlatt;4546;2.1;2.4;1.7;1.5;1.4;1.6;1.8
Schönholzerswilen;4756;1.5;1.1;0.9;1.0;0.4;1.7;1.9
Sirnach;4761;2.9;2.8;2.3;1.8;1.9;3.5;4.1
Sommeri ;4446;1.8;2.6;1.8;0.9;0.4;2.0;1.0
Steckborn;4864;3.0;3.2;3.0;2.0;2.1;3.4;3.1
Stettfurt;4606;2.0;1.4;1.7;0.8;1.6;2.1;1.9
Sulgen;4506;4.0;3.8;3.0;2.1;1.6;3.6;3.9
Tägerwilen;4611;2.8;3.0;2.6;1.8;2.0;3.4;3.8
Thundorf;4776;1.4;1.7;1.6;1.4;1.1;1.2;1.4
Tobel-Tägerschen ;4696;2.0;1.9;1.5;1.6;1.8;2.9;2.2
Uesslingen-Buch;4616;1.6;1.2;0.7;0.6;0.9;0.8;1.1
Uttwil;4451;2.9;2.8;2.5;1.3;1.9;2.1;1.6
Wagenhausen;4871;3.1;3.4;2.7;2.0;1.8;2.7;2.6
Wäldi;4621;1.5;2.3;1.9;1.4;2.2;2.7;3.0
Wängi;4946;2.5;1.9;1.8;1.6;1.4;2.4;2.5
Warth-Weiningen;4951;0.8;1.4;1.3;0.8;0.8;1.3;1.7
Weinfelden;4786;3.0;2.9;2.7;1.8;1.7;3.3;3.3
Wigoltingen;4791;2.2;2.0;2.2;1.4;1.2;2.2;2.0
Wilen;4701;2.3;2.2;1.3;1.0;1.0;1.7;1.7
Wuppenau;4781;2.2;2.0;1.2;1.1;1.2;1.4;1.2
Zihlschlacht-Sitterdorf;4511;2.2;2.0;1.9;1.6;1.3;2.0;2.0
;;;;;;;;
;;;;;;;;
;;;;;;;;
