Wahljahr,SVP,FDP,CVP,SP,GP,glp,EVP,EDU,BDP,Uebrige
1972,24.4,19.3,25.1,16.4,,,6.8,,,8
1976,26.1,17.8,24.2,19.3,,,6,,,6.7
1980,25.8,19,24.1,20.4,,,7.1,,,3.7
1984,25.2,18.7,22.9,16.2,4.5,,6.5,,,6
1988,22.9,16.5,20.3,13.9,9,,5.6,,,11.8
1992,21.7,16.9,19.4,15.3,8.1,,5.5,,,13.1
1996,26.1,18.7,18.4,14.9,7.5,,5.5,,,9
2000,29.7,19.6,19.3,15.7,7.2,,5.3,,,3.3
2004,32.8,15.7,17.5,15.6,9.7,,5,2.7,,0.9
2008,36.4,14.5,15.9,12.8,9,2,5,3.9,,0.5
2012,30.5,14.2,14.2,13.4,7.7,5.9,4.7,4.6,4.8,
2016,32.6,15.6,13.4,13.1,7.4,5.2,4.9,4.6,3.1,
