GEMEINDE_NAME,BFS_NR_GEMEINDE,Total,Einpersonenhaushalte,Paare_ohne_Kinder,Paare_mit_Kinder,Einelternhaushalte,Andere_Haushalte
Amriswil,4461,4926,1633,1329,1534,297,133
Arbon,4401,6124,2308,1791,1568,369,88
Dozwil,4406,219,41,85,81,0,0
Egnach,4411,1602,347,502,667,60,26
Hefenhofen,4416,382,85,127,155,0,0
Horn,4421,1197,422,366,321,71,0
Kesswil,4426,389,107,158,96,26,0
Roggwil,4431,1068,195,376,434,57,0
Romanshorn,4436,3941,1317,1145,1147,246,86
Salmsach,4441,554,162,164,183,36,0
Sommeri,4446,236,65,78,81,0,0
Uttwil,4451,795,273,235,241,38,0
Basadingen-Schlattingen,4536,693,200,221,231,30,13
Berlingen,4801,399,160,124,92,18,0
Diessenhofen,4545,1560,515,494,467,67,17
Eschenz,4806,644,207,204,193,32,0
Felben-Wellhausen,4561,1064,315,317,370,41,21
Frauenfeld,4566,10960,4042,3206,2832,595,285
Gachnang,4571,1372,300,474,528,57,13
Herdern,4811,369,82,131,129,22,0
Homburg,4816,628,214,187,178,41,0
Hüttlingen,4590,353,60,141,128,19,0
Hüttwilen,4821,569,107,201,212,41,0
Mammern,4826,297,117,67,94,0,0
Matzingen,4941,1084,281,339,365,74,26
Müllheim,4831,1155,295,329,426,77,27
Neunforn,4601,372,70,183,104,0,0
Pfyn,4841,775,239,219,261,32,23
Schlatt,4546,633,169,208,189,38,29
Steckborn,4864,1607,464,539,459,113,32
Stettfurt,4606,494,103,174,193,25,0
Thundorf,4776,520,101,196,199,20,0
Uesslingen-Buch,4616,384,90,126,141,18,0
Wagenhausen,4871,682,218,227,180,51,0
Warth-Weiningen,4951,507,93,214,180,18,0
Altnau,4641,872,259,235,320,48,0
Bottighofen,4643,926,225,363,300,26,12
Ermatingen,4646,1293,431,416,369,52,25
Gottlieben,4651,149,36,74,28,0,0
Güttingen,4656,617,232,196,156,17,17
Kemmental,4666,766,182,264,286,33,0
Kreuzlingen,4671,10016,4178,2670,2440,481,247
Langrickenbach,4681,406,128,123,140,15,0
Lengwil,4683,627,137,210,238,23,18
Münsterlingen,4691,1253,409,365,390,70,19
Raperswilen,4846,141,60,46,34,0,0
Salenstein,4851,591,188,231,136,23,0
Tägerwilen,4611,1728,524,528,579,74,24
Wäldi,4621,349,77,133,125,0,0
Aadorf,4551,3597,991,1245,1087,204,70
Bettwiesen,4716,451,137,115,171,15,0
Bichelsee-Balterswil,4721,1071,232,387,385,55,0
Braunau,4723,314,51,108,126,24,0
Eschlikon,4724,1646,405,592,518,91,40
Fischingen,4726,1169,367,374,384,31,14
Lommis,4741,401,117,117,149,0,0
Münchwilen,4746,2155,649,558,814,105,29
Rickenbach,4751,1311,536,398,277,59,41
Sirnach,4761,3115,978,918,1020,161,38
Tobel-Tägerschen,4696,585,178,188,162,37,20
Wängi,4946,1755,497,538,598,80,42
Wilen,4701,950,223,280,373,67,0
Affeltrangen,4711,873,188,299,310,66,11
Amlikon-Bissegg,4881,449,93,175,154,21,0
Berg,4891,1311,434,323,447,80,28
Birwinken,4901,416,69,154,157,29,0
Bischofszell,4471,2247,664,792,662,93,36
Bürglen,4921,1404,458,478,366,73,29
Bussnang,4911,731,177,256,250,26,23
Erlen,4476,1166,261,341,457,81,26
Hauptwil-Gottshaus,4486,665,131,217,266,45,0
Hohentannen,4495,177,0,60,85,0,0
Kradolf-Schönenberg,4501,1381,465,394,396,77,49
Märstetten,4591,1071,310,300,391,42,28
Schönholzerswilen,4756,247,40,82,116,0,0
Sulgen,4506,1340,363,417,445,78,36
Weinfelden,4786,4924,1833,1509,1196,261,125
Wigoltingen,4791,938,271,306,297,47,17
Wuppenau,4781,352,88,77,155,26,0
Zihlschlacht-Sitterdorf,4511,750,185,227,284,38,16
